Día	Concepto / Referencia	cargo	Abono	Saldo
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 11:03 PRAC      5422 FOLIO:8056		700.00	245,150.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 11:03 PRAC      9988 FOLIO:5586		700.00	244,450.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 11:01 PRAC      5422 FOLIO:8054		700.00	243,750.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 10:37 PRAC      7648 FOLIO:4120		700.00	243,050.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 10:33 PRAC      7634 FOLIO:8366		200.00	242,350.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 10:12 PRAC      7634 FOLIO:8340		700.00	242,150.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 10:05 PRAC      9988 FOLIO:5551		700.00	241,450.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 09:52 PRAC      7634 FOLIO:8325		700.00	240,750.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 MODULO 4              7634 FOLIO:8319		700.00	240,050.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 09:13 PRAC      9988 FOLIO:5505		700.00	239,350.95
18-08-2020	DEPOSITO EN EFECTIVO/ 		850.00	238,650.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 09:01 PRAC      4544 FOLIO:7038		700.00	237,800.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 07:53 PRAC      E426 FOLIO:2824		700.00	237,100.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 PAGO                  7622 FOLIO:3714		700.00	236,400.95
18-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO18 07:25 PRAC      7622 FOLIO:3710		700.00	235,700.95
18-08-2020	PAGO CUENTA DE TERCERO/ 6723180030 BNET    2725823749 INGLES		700.00	235,000.95
17-08-2020	PAGO CUENTA DE TERCERO/ 6695033877 BNET    1507980309 INGLES MODULAR		700.00	234,300.95
17-08-2020	PAGO CUENTA DE TERCERO/ 6694976101 BNET    1507980309 INGLES MODULAR		700.00	233,600.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 22:38 PRAC      5422 FOLIO:7944		700.00	232,900.95
17-08-2020	PAGO CUENTA DE TERCERO/ 6689000973 BNET    1283733920 INGLES		700.00	232,200.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 21:35 PRAC      7634 FOLIO:8289		700.00	231,500.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGLES                7651 FOLIO:3999		700.00	230,800.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 ITSCH                 7622 FOLIO:3662		700.00	230,100.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 DEPOSITO              E427 FOLIO:8208		200.00	229,400.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 20:42 PRAC      4544 FOLIO:6908		700.00	229,200.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 20:35 PRAC      7651 FOLIO:3975		700.00	228,500.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 PAGO INSC             7634 FOLIO:8241		700.00	227,800.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 MODULO INGLES         7648 FOLIO:3939		700.00	227,100.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 19:57 PRAC      7634 FOLIO:8218		700.00	226,400.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 19:54 PRAC      7622 FOLIO:3627		700.00	225,700.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGLES                9988 FOLIO:5326		700.00	225,000.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 19:25 PRAC      9988 FOLIO:5314		700.00	224,300.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 19:07 PRAC      7622 FOLIO:3599		850.00	223,600.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 18:55 PRAC      7622 FOLIO:3589		200.00	222,750.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGLES                9988 FOLIO:5289		700.00	222,550.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 IDIOMAS               9988 FOLIO:5276		700.00	221,850.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGLES                7637 FOLIO:1071		700.00	221,150.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGLES                7637 FOLIO:1069		700.00	220,450.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 18:16 PRAC      5422 FOLIO:7797		200.00	219,750.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 EX UBICACION          7622 FOLIO:3564		200.00	219,550.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 18:13 PRAC      7622 FOLIO:3562		200.00	219,350.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 18:08 PRAC      7634 FOLIO:8155		850.00	219,150.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 18:08 PRAC      5422 FOLIO:7790		700.00	218,300.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 18:06 PRAC      5422 FOLIO:7787		700.00	217,600.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 18:01 PRAC      7622 FOLIO:3554		200.00	216,900.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 MODULO                8881 FOLIO:1977		700.00	216,700.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 MODULO                8881 FOLIO:1975		700.00	216,000.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 MODUL0 INGLES         7637 FOLIO:1039		700.00	215,300.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:41 PRAC      D619 FOLIO:5683		700.00	214,600.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:34 PRAC      7634 FOLIO:8135		700.00	213,900.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:34 PRAC      5422 FOLIO:7774		700.00	213,200.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:27 PRAC      5422 FOLIO:7767		700.00	212,500.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGLES                9988 FOLIO:5228		700.00	211,800.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INSCRIP M1            7622 FOLIO:3524		700.00	211,100.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:22 PRAC      7634 FOLIO:8123		700.00	210,400.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:21 PRAC      9988 FOLIO:5224		200.00	209,700.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 REINSCRIP M5          7622 FOLIO:3521		700.00	209,500.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:20 PRAC      5422 FOLIO:7762		55.00	208,800.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:19 PRAC      5422 FOLIO:7760		700.00	208,745.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:18 PRAC      5422 FOLIO:7758		700.00	208,045.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INTERNO ESPINO REYES  7622 FOLIO:3515		700.00	207,345.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO17 17:10 PRAC      7634 FOLIO:8110		700.00	206,645.95
17-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 UBICACIONAL INGLES    9988 FOLIO:5209		200.00	205,945.95
