Día	Concepto / Referencia	cargo	Abono	Saldo
26-08-2020	DEPOSITO EN EFECTIVO/ 		55.00	177,679.89
26-08-2020	DEPOSITO EN EFECTIVO/ 		55.00	177,624.89
25-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO25 19:50 PRAC      7622 FOLIO:6708		1,000.00	177,569.89
25-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO25 17:24 PRAC      4544 FOLIO:0652		45.00	176,569.89
25-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7622 FOLIO:6644		1,500.00	176,524.89
25-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO25 11:13 PRAC      7622 FOLIO:6462		1,000.00	175,024.89
25-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO25 10:21 PRAC      7622 FOLIO:6436		880.00	174,024.89
25-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO25 10:19 PRAC      7622 FOLIO:6433		700.00	173,144.89
25-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO25 09:18 PRAC      E426 FOLIO:5845		700.00	172,444.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO24 21:04 PRAC      7622 FOLIO:6348		45.00	171,744.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO24 19:22 PRAC      7622 FOLIO:6292		1,500.00	171,699.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 APORTACION            8117 FOLIO:6983		1,500.00	170,199.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO24 17:10 PRAC      9988 FOLIO:8796		1,500.00	168,699.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 TRAMITE TARDIO        5422 FOLIO:0470		250.00	167,199.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 REINSCRIPCION         5422 FOLIO:0468		1,000.00	166,949.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO24 16:17 PRAC      E770 FOLIO:5393		100.00	165,949.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO24 16:01 PRAC      7622 FOLIO:6201		55.00	165,849.89
24-08-2020	PAGO CUENTA DE TERCERO/ 7270886766 BNET    1175618908 INSCRIPCION		1,250.00	165,794.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 MIL QUINIENTOS        8117 FOLIO:6812		1,500.00	164,544.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO24 11:15 PRAC      7622 FOLIO:6013		700.00	163,044.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO24 11:12 PRAC      7622 FOLIO:6011		1,500.00	162,344.89
24-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 FORTALECIMIENTO INST  9988 FOLIO:8526		1,500.00	160,844.89
23-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 VANESSA OROZCO        4684 FOLIO:0143		1,500.00	159,344.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 CURSO DE INGLES       7637 FOLIO:3279		700.00	157,844.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7648 FOLIO:6388		1,500.00	157,144.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO22 16:31 PRAC      4544 FOLIO:9307		1,000.00	155,644.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INGLES                5422 FOLIO:9754		700.00	154,644.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 TEC                   5422 FOLIO:9752		1,500.00	153,944.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO22 12:37 PRAC      9988 FOLIO:7823		55.00	152,444.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO22 12:32 PRAC      7651 FOLIO:6565		1,500.00	152,389.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 RESIDENCIAS           9988 FOLIO:7757		1,000.00	150,889.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INGLES                7634 FOLIO:0005		700.00	149,889.89
22-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7634 FOLIO:9999		1,500.00	149,189.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 LGERMAN               E427 FOLIO:9831		45.00	147,689.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           E426 FOLIO:4489		1,500.00	147,644.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 17:54 PRAC      7634 FOLIO:9842		700.00	146,144.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 PAGO CURSO INGLES     9988 FOLIO:7480		700.00	145,444.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 PAGO INSCRIPCION      9988 FOLIO:7478		1,500.00	144,744.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 17:15 PRAC      5422 FOLIO:9499		700.00	143,244.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 17:12 PRAC      5422 FOLIO:9497		700.00	142,544.89
21-08-2020	PAGO CUENTA DE TERCERO/ 7014948885 BNET    1407114044 INGLES		700.00	141,844.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 ITSCH                 7648 FOLIO:5770		1,500.00	141,144.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 14:26 PRAC      7634 FOLIO:9724		700.00	139,644.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 14:23 PRAC      7634 FOLIO:9722		1,500.00	138,944.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 13:43 PRAC      4231 FOLIO:3686		250.00	137,444.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 REINSCRIPCION         4231 FOLIO:3684		1,000.00	137,194.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AP  AL FORT INST      7622 FOLIO:5263		1,000.00	136,194.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 TARDIO                7648 FOLIO:5630		250.00	135,194.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 11:39 PRAC      7634 FOLIO:9637		55.00	134,944.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 11:08 PRAC      5422 FOLIO:9285		250.00	134,889.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 11:04 PRAC      5422 FOLIO:9282		1,000.00	134,639.89
21-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO21 07:40 PRAC      7622 FOLIO:5105		1,000.00	133,639.89
21-08-2020	PAGO CUENTA DE TERCERO/ 6956871805 BNET    1151224913 CAMBIO DE CARRERA		320.00	132,639.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 19:08 PRAC      5422 FOLIO:9136		700.00	132,319.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 19:07 PRAC      5422 FOLIO:9134		1,500.00	131,619.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 18:30 PRAC      7634 FOLIO:9416		45.00	130,119.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AFA                   E770 FOLIO:3455		1,250.00	130,074.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 15:31 PRAC      7622 FOLIO:4956		1,000.00	128,824.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 KARDEX                7634 FOLIO:9311		55.00	127,824.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 12:47 PRAC      7622 FOLIO:4844		50.00	127,769.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 11:55 PRAC      7634 FOLIO:9192		625.00	127,719.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 10:31 PRAC      7622 FOLIO:4749		250.00	127,094.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 10:12 PRAC      7648 FOLIO:5137		1,000.00	126,844.89
20-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO20 01:59 PRAC      7622 FOLIO:4673		45.00	125,844.89
19-08-2020	PAGO CUENTA DE TERCERO/ 6869504860 BNET    1547222194 CONSTANCIA		45.00	125,799.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 23:08 PRAC      7634 FOLIO:9124		45.00	125,754.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 20:31 PRAC      3043 FOLIO:6042		55.00	125,709.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 20:28 PRAC      9789 FOLIO:5569		45.00	125,654.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 ITSCH                 7648 FOLIO:4992		45.00	125,609.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INGLES                5422 FOLIO:8715		700.00	125,564.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 19:04 PRAC      5422 FOLIO:8712		6,500.00	124,864.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 19:02 PRAC      7622 FOLIO:4609		1,250.00	118,364.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 CONSTANCIA DE INSCRI  9988 FOLIO:6507		45.00	117,114.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 TECNOLGICO            7622 FOLIO:4588		700.00	117,069.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 CONSTANCIA            7634 FOLIO:8999		45.00	116,369.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 17:44 PRAC      9988 FOLIO:6462		50.00	116,324.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 TRAMITE TARDIO        9988 FOLIO:6379		250.00	116,274.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 13:14 PRAC      7622 FOLIO:4428		700.00	116,024.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 RIMANUEL TEJO         7622 FOLIO:4403		1,250.00	115,324.89
19-08-2020	PAGO CUENTA DE TERCERO/ 6829794284 BNET    1544396537 CONSTANCIA		45.00	114,074.89
19-08-2020	PAGO CUENTA DE TERCERO/ 6828916112 BNET    1555945766 TRANSF. A TERCEROS		45.00	114,029.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 11:26 PRAC      7637 FOLIO:1769		1,250.00	113,984.89
19-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO19 10:59 PRAC      7637 FOLIO:1746		45.00	112,734.89
19-08-2020	PAGO CUENTA DE TERCERO/ 6823146036 BNET    2972075407 TRANSF. A TERCEROS		55.00	112,689.89
19-08-2020	PAGO CUENTA DE TERCERO/ 6823074760 BNET    2972075407 TRANSF. A TERCEROS		45.00	112,634.89
