Día	Concepto / Referencia	cargo	Abono	Saldo
22-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGLES                5422 FOLIO:7424		700.00	56,239.74
22-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL22 11:04 PRAC      3043 FOLIO:0686		700.00	55,539.74
21-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 FICHA                 7622 FOLIO:1163		700.00	54,839.74
21-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL21 12:24 PRAC      7636 FOLIO:1464		700.00	54,139.74
20-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL20 15:03 PRAC      7634 FOLIO:5271		700.00	53,439.74
20-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL20 13:35 PRAC      7634 FOLIO:5193		700.00	52,739.74
20-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGL4E                7622 FOLIO:0682		700.00	52,039.74
20-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL20 10:07 PRAC      E426 FOLIO:9314		700.00	51,339.74
18-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 MODULO 5              5422 FOLIO:6240		700.00	50,639.74
17-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL17 09:31 PRAC      7649 FOLIO:1038		700.00	49,939.74
16-07-2020	DEPOSITO EN EFECTIVO/0001918  		32,000.00	49,239.74
16-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL16 14:31 PRAC      7622 FOLIO:9235		700.00	17,239.74
16-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 PAGO FICHA DE INSCRI  4996 FOLIO:5081		700.00	16,539.74
16-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL16 12:20 PRAC      7622 FOLIO:9131		700.00	15,839.74
16-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL16 10:51 PRAC      5422 FOLIO:5082		700.00	15,139.74
15-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 MODULO 8              7648 FOLIO:7923		700.00	14,439.74
15-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL15 15:51 PRAC      7634 FOLIO:3234		1,900.00	13,739.74
15-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL15 12:37 PRAC      7634 FOLIO:3053		700.00	11,839.74
15-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL15 12:35 PRAC      7634 FOLIO:3051		700.00	11,139.74
15-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL15 11:42 PRAC      7649 FOLIO:9769		700.00	10,439.74
15-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 TRAMITR DE FICHA      7634 FOLIO:2932		700.00	9,739.74
15-07-2020	PAGO CUENTA DE TERCERO/ 3795672067 BNET    2995835240 INGLES		700.00	9,039.74
15-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL15 07:34 PRAC      7634 FOLIO:2838		600.00	8,339.74
15-07-2020	TRASPASO A TERCEROS/REFBNTC00672734 PAGO HON 16 JUN AL 15 JUL 2020BMRCASH	5,300.00		7,739.74
15-07-2020	TRASPASO A TERCEROS/REFBNTC00672734 HON 1A QUINCENA JULIO 2020    BMRCASH	6,500.00		13,039.74
14-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL14 18:50 PRAC      7622 FOLIO:8282		850.00	19,539.74
14-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL14 18:49 PRAC      7622 FOLIO:8279		700.00	18,689.74
14-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL14 18:42 PRAC      5422 FOLIO:4200		700.00	17,989.74
14-07-2020	DEPOSITO POR CORRECCION/0001900/07/2020  		700.00	17,289.74
14-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL14 13:33 PRAC      9988 FOLIO:8780		700.00	16,589.74
14-07-2020	TELEFONOS DE MEXICO/GUIA:1212024 REF:09999970064156220077 CIE:0624101	42,127.95		15,889.74
14-07-2020	SPEI ENVIADO BANAMEX/0000181222  002 0000002PAGO DE FACTURAS	14,999.42		58,017.69
14-07-2020	SPEI ENVIADO HSBC/0000179202  021 0003569PAGO DE FACTURA	36,470.40		73,017.11
14-07-2020	SPEI ENVIADO BANORTE/0000167827  072 0000002PAGO DE FACTURAS	1,385.04		109,487.51
14-07-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUL14 09:07 PRAC      7634 FOLIO:2404		850.00	110,872.55
