Día	Concepto / Referencia	cargo	Abono	Saldo
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 APORT                 E771 FOLIO:8420		1,000.00	555,397.78
03-08-2020	PAGO CUENTA DE TERCERO/ 5439573533 BNET    1582087718 REINSCRIPCION		1,000.00	554,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 FORT INSTITUCIONAL    7634 FOLIO:1273		1,000.00	553,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 10:25 PRAC      7634 FOLIO:1269		1,000.00	552,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 10:23 PRAC      5422 FOLIO:1737		1,000.00	551,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 10:23 PRAC      7634 FOLIO:1266		1,000.00	550,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 10:20 PRAC      7634 FOLIO:1264		1,000.00	549,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 PAGO SEMESTRE         5422 FOLIO:1732		1,000.00	548,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 10:10 PRAC      7622 FOLIO:6657		1,000.00	547,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 10:09 PRAC      7622 FOLIO:6655		1,000.00	546,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:59 PRAC      E425 FOLIO:9937		1,000.00	545,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:58 PRAC      5422 FOLIO:1715		1,000.00	544,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:56 PRAC      5422 FOLIO:1713		1,000.00	543,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:51 PRAC      7622 FOLIO:6639		1,000.00	542,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:48 PRAC      9988 FOLIO:7489		1,000.00	541,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:42 PRAC      5422 FOLIO:1696		1,000.00	540,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:41 PRAC      7634 FOLIO:1236		1,000.00	539,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:38 PRAC      E425 FOLIO:9910		1,000.00	538,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:37 PRAC      7636 FOLIO:5858		1,000.00	537,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:36 PRAC      7634 FOLIO:1232		1,000.00	536,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:33 PRAC      7634 FOLIO:1228		500.00	535,397.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:32 PRAC      7634 FOLIO:1226		1,000.00	534,897.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:27 PRAC      D806 FOLIO:8566		1,000.00	533,897.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 TRAMITE TARDIO        4321 FOLIO:6722		250.00	532,897.78
03-08-2020	PAGO CUENTA DE TERCERO/ 5435002814 BNET    2976616321 REINSCRIPCION AGO		100.00	532,647.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 APORTACION            4321 FOLIO:6720		1,000.00	532,547.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:14 PRAC      9988 FOLIO:7469		500.00	531,547.78
03-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO03 09:13 PRAC      9988 FOLIO:7467		1,000.00	531,047.78
