Día	Concepto / Referencia	cargo	Abono	Saldo
13-08-2020	PAGO CUENTA DE TERCERO/ 6272970765 BNET    1547222194 REINSCRIPCION		1,000.00	966,832.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 17:23 PRAC      7622 FOLIO:1192		700.00	965,832.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 17:22 PRAC      7622 FOLIO:1190		1,500.00	965,132.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 CURSO DE INGLES       7634 FOLIO:5762		700.00	963,632.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7634 FOLIO:5759		1,500.00	962,932.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 CURSO DE INGLES       7634 FOLIO:5757		700.00	961,432.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 16:48 PRAC      7634 FOLIO:5755		1,500.00	960,732.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 PAGO TARDIO           E094 FOLIO:2379		250.00	959,232.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 15:29 PRAC      7622 FOLIO:1146		1,500.00	958,982.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 15:27 PRAC      7622 FOLIO:1144		1,500.00	957,482.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 14:45 PRAC      7636 FOLIO:0032		1,500.00	955,982.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 13:48 PRAC      5422 FOLIO:5316		700.00	954,482.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 13:35 PRAC      5422 FOLIO:5301		1,500.00	953,782.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 KARDEX                9988 FOLIO:1944		55.00	952,282.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 CONSTANCIA            9988 FOLIO:1941		55.00	952,227.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 PAGO                  4998 FOLIO:2363		250.00	952,172.78
12-08-2020	PAGO CUENTA DE TERCERO/ 6224613227 BNET    2922747359 CONSTANCIA Y KARDE		100.00	951,922.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 PAGO                  E427 FOLIO:5640		700.00	951,822.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 12:23 PRAC      7622 FOLIO:1005		320.00	951,122.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 12:22 PRAC      E426 FOLIO:9591		250.00	950,802.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 12:20 PRAC      E426 FOLIO:9589		320.00	950,552.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 10:56 PRAC      7634 FOLIO:5520		100.00	950,232.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 09:44 PRAC      9988 FOLIO:1794		700.00	950,132.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 09:42 PRAC      9988 FOLIO:1792		1,500.00	949,432.78
12-08-2020	DEPOSITO EN EFECTIVO/0180591E FRUTIS  		700.00	947,932.78
12-08-2020	DEPOSITO EN EFECTIVO/0180590E FRUTIS  		1,500.00	947,232.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 08:39 PRAC      5422 FOLIO:5170		700.00	945,732.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 08:38 PRAC      5422 FOLIO:5168		1,500.00	945,032.78
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO12 07:33 PRAC      7649 FOLIO:4454		250.00	943,532.78
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7622 FOLIO:0871		1,500.00	943,282.78
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******4641 AGO11 20:18 PRAC      5422 FOLIO:5117		250.00	941,782.78
