Día	Concepto / Referencia	cargo	Abono	Saldo
16-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN16 20:58 PRAC      5422 FOLIO:1188		110.00	30,474.06
16-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN16 18:51 PRAC      7622 FOLIO:7380		110.00	30,364.06
16-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN16 18:21 PRAC      7634 FOLIO:9085		700.00	30,254.06
16-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 NIVE                  9988 FOLIO:6446		220.00	29,554.06
16-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 NAYDELIN P INGLES     5422 FOLIO:1107		700.00	29,334.06
16-06-2020	PAGO CUENTA DE TERCERO/ 1306593938 BNET    1498558345 PAGO NIVELACION		110.00	28,634.06
16-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 NIVELACION            7637 FOLIO:2854		110.00	28,524.06
16-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN16 11:00 PRAC      7622 FOLIO:7091		700.00	28,414.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 23:02 PRAC      7634 FOLIO:8599		120.00	27,714.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 22:24 PRAC      7622 FOLIO:6999		700.00	27,594.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 21:07 PRAC      7634 FOLIO:8573		110.00	26,894.06
15-06-2020	PAGO CUENTA DE TERCERO/ 1242118069 BNET    1125091292 INGLES		700.00	26,784.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 EGEL                  7649 FOLIO:4830		2,800.00	26,084.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 18:59 PRAC      5422 FOLIO:0610		700.00	23,284.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 18:48 PRAC      7634 FOLIO:8453		850.00	22,584.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 18:17 PRAC      7634 FOLIO:8424		110.00	21,734.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 17:18 PRAC      7634 FOLIO:8369		220.00	21,624.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 16:10 PRAC      5422 FOLIO:0474		700.00	21,404.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 15:21 PRAC      7634 FOLIO:8273		700.00	20,704.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 NIVE                  9789 FOLIO:9742		110.00	20,004.06
15-06-2020	TRASPASO A TERCEROS/REFBNTC00672734 2943275434	776.40		19,894.06
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 14:19 PRAC      7634 FOLIO:8206		330.00	20,670.46
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 12:33 PRAC      5422 FOLIO:0259		440.00	20,340.46
15-06-2020	DEPOSITO EFECTIVO PRACTIC/******2997 JUN15 12:26 PRAC      5422 FOLIO:0251		220.00	19,900.46
