Día	Concepto / Referencia	cargo	Abono	Saldo
31-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL31 08:43 PRAC      E425 FOLIO:8235		950.00	359,770.26
31-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL31 08:42 PRAC      E425 FOLIO:8232		950.00	358,820.26
31-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL31 08:40 PRAC      E425 FOLIO:8229		950.00	357,870.26
31-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL31 08:39 PRAC      E425 FOLIO:8226		950.00	356,920.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 21:44 PRAC      7622 FOLIO:5209		1,000.00	355,970.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 20:59 PRAC      3043 FOLIO:5032		200.00	354,970.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 20:48 PRAC      7622 FOLIO:5198		500.00	354,770.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 APORT FORTAL INST     7651 FOLIO:3122		1,000.00	354,270.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 20:24 PRAC      E087 FOLIO:8515		1,000.00	353,270.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 20:13 PRAC      5422 FOLIO:0312		1,000.00	352,270.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 19:42 PRAC      7634 FOLIO:9759		1,000.00	351,270.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 19:27 PRAC      7622 FOLIO:5165		1,000.00	350,270.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 19:10 PRAC      7648 FOLIO:5156		45.00	349,270.26
30-07-2020	PAGO CUENTA DE TERCERO/ 5124868492 BNET    1543092933 INSCRIPCION		1,000.00	349,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 REINSCRIPCION         E684 FOLIO:0439		1,000.00	348,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 18:44 PRAC      7634 FOLIO:9742		1,000.00	347,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 18:33 PRAC      7634 FOLIO:9733		1,000.00	346,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 TEC                   1309 FOLIO:5943		1,000.00	345,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 18:21 PRAC      7634 FOLIO:9723		1,000.00	344,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 REINSCRIPCION         7622 FOLIO:5132		1,000.00	343,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION NOVENO    E425 FOLIO:8065		1,000.00	342,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 17:28 PRAC      7634 FOLIO:9675		1,000.00	341,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 17:26 PRAC      7622 FOLIO:5102		1,000.00	340,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 17:20 PRAC      7634 FOLIO:9668		1,000.00	339,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 17:14 PRAC      7651 FOLIO:3008		1,000.00	338,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 16:54 PRAC      7651 FOLIO:2981		1,000.00	337,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 16:53 PRAC      7651 FOLIO:2979		1,000.00	336,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 16:43 PRAC      7622 FOLIO:5081		1,000.00	335,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 16:22 PRAC      7622 FOLIO:5076		1,000.00	334,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 16:19 PRAC      7648 FOLIO:5054		1,000.00	333,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 16:19 PRAC      9988 FOLIO:5695		1,000.00	332,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 15:54 PRAC      5422 FOLIO:0211		1,000.00	331,225.26
30-07-2020	DEPOSITO EN EFECTIVO/0178805  		1,000.00	330,225.26
30-07-2020	PAGO CUENTA DE TERCERO/ 5112081244 BNET    2742684942 REINSCIPCION TAVO		1,000.00	329,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7648 FOLIO:5010		1,000.00	328,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 LIZBETH GARFIAS R     7637 FOLIO:2359		1,000.00	327,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 SHARON YARETH SORIA   7649 FOLIO:7961		1,000.00	326,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 G19030442             7622 FOLIO:5009		1,000.00	325,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 14:22 PRAC      7651 FOLIO:2867		1,000.00	324,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7622 FOLIO:5002		1,000.00	323,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:50 PRAC      7634 FOLIO:9548		1,000.00	322,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 REINSCRIPCION         4684 FOLIO:0691		1,000.00	321,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:47 PRAC      7634 FOLIO:9544		1,000.00	320,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:42 PRAC      7634 FOLIO:9537		500.00	319,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:40 PRAC      7634 FOLIO:9535		1,000.00	318,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:33 PRAC      7649 FOLIO:7907		1,000.00	317,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:31 PRAC      9988 FOLIO:5583		1,000.00	316,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:21 PRAC      7649 FOLIO:7894		1,000.00	315,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:19 PRAC      7634 FOLIO:9514		500.00	314,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:18 PRAC      4544 FOLIO:7461		1,000.00	314,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 REINSCRIPCION         7634 FOLIO:9512		1,000.00	313,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 13:14 PRAC      7622 FOLIO:4968		1,000.00	312,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:50 PRAC      7634 FOLIO:9484		1,000.00	311,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           9988 FOLIO:5551		500.00	310,225.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 FORTALECIMIENTO       7634 FOLIO:9482		1,000.00	309,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:45 PRAC      E427 FOLIO:9799		1,000.00	308,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 ITSCH                 9988 FOLIO:5538		1,000.00	307,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:37 PRAC      E425 FOLIO:7864		1,000.00	306,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:37 PRAC      7622 FOLIO:4932		1,000.00	305,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:34 PRAC      E770 FOLIO:1501		1,000.00	304,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:32 PRAC      7634 FOLIO:9463		1,000.00	303,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:30 PRAC      7622 FOLIO:4927		1,000.00	302,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:26 PRAC      9988 FOLIO:5528		1,000.00	301,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:24 PRAC      9988 FOLIO:5526		1,000.00	300,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:24 PRAC      7622 FOLIO:4919		1,000.00	299,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:23 PRAC      9988 FOLIO:5524		1,000.00	298,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:22 PRAC      5422 FOLIO:0068		700.00	297,725.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 12:19 PRAC      9988 FOLIO:5520		1,000.00	297,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7622 FOLIO:4915		1,000.00	296,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 11:57 PRAC      7622 FOLIO:4892		1,000.00	295,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 11:46 PRAC      9988 FOLIO:5488		1,000.00	294,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 11:40 PRAC      7649 FOLIO:7808		1,000.00	293,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 11:07 PRAC      5422 FOLIO:0028		1,000.00	292,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 11:00 PRAC      7634 FOLIO:9401		1,000.00	291,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 10:52 PRAC      7651 FOLIO:2722		1,000.00	290,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 RE INSCRIPCION        7622 FOLIO:4840		1,000.00	289,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 10:36 PRAC      7634 FOLIO:9390		1,000.00	288,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 PREINSCRIPCION        7634 FOLIO:9388		1,000.00	287,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 10:26 PRAC      7634 FOLIO:9386		1,000.00	286,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 CONSTANCIA            4837 FOLIO:4841		55.00	285,025.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           4837 FOLIO:4839		1,000.00	284,970.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 10:15 PRAC      7634 FOLIO:9377		1,000.00	283,970.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 10:11 PRAC      5422 FOLIO:9981		1,000.00	282,970.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 09:54 PRAC      9988 FOLIO:5420		1,000.00	281,970.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 09:27 PRAC      4371 FOLIO:6564		1,000.00	280,970.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 INSCRIPCION           7634 FOLIO:9332		1,000.00	279,970.26
30-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL30 07:54 PRAC      7634 FOLIO:9308		1,000.00	278,970.26
30-07-2020	PAGO CUENTA DE TERCERO/ 5081882375 BNET    2922747359 TRANSF. A TERCEROS		1,000.00	277,970.26
30-07-2020	PAGO CUENTA DE TERCERO/ 5066454335 BNET    2995835240 INSCRIPCION		1,000.00	276,970.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 22:12 PRAC      7622 FOLIO:4765		500.00	275,970.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 21:36 PRAC      7622 FOLIO:4760		1,000.00	275,470.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 21:27 PRAC      7637 FOLIO:2038		1,000.00	274,470.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 REINSCRIPCION         4837 FOLIO:4743		1,000.00	273,470.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 20:42 PRAC      5422 FOLIO:9934		50.00	272,470.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 20:40 PRAC      5422 FOLIO:9931		50.00	272,420.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 REINSC GALVAN         7622 FOLIO:4735		1,000.00	272,370.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 19:52 PRAC      4544 FOLIO:7239		500.00	271,370.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 19:50 PRAC      4544 FOLIO:7237		500.00	270,870.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 19:32 PRAC      7622 FOLIO:4710		1,000.00	270,370.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 19:31 PRAC      7634 FOLIO:9225		1,000.00	269,370.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 19:30 PRAC      7634 FOLIO:9223		1,000.00	268,370.26
29-07-2020	DEPOSITO EFECTIVO PRACTIC/******4641 JUL29 19:25 PRAC      7634 FOLIO:9220		1,000.00	267,370.26
