Día	Concepto / Referencia	cargo	Abono	Saldo
12-08-2020	TRASPASO A TERCEROS/REFBNTC00672734 PAGO DE HONORARIOS 2A JUL 2020BMRCASH	2,524.39		176,452.04
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO12 08:56 PRAC      5422 FOLIO:5174		700.00	178,976.43
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO12 08:54 PRAC      5422 FOLIO:5172		700.00	178,276.43
12-08-2020	CFE SUMINISTRADOR DE/GUIA:1083050 REF:01162050902820200812 CIE:0578869	18,122.00		177,576.43
12-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO12 08:09 PRAC      7634 FOLIO:5462		700.00	195,698.43
11-08-2020	PAGO CUENTA DE TERCERO/ 6171713123 BNET    2972075369 INGLES ZM		700.00	194,998.43
11-08-2020	PAGO CUENTA DE TERCERO/ 6171629292 BNET    2972075369 INGLES		700.00	194,298.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 CURSO INGLES          5422 FOLIO:5130		700.00	193,598.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INSCRIPCION           5422 FOLIO:5128		1,500.00	192,898.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 INGLES                7622 FOLIO:0812		700.00	191,398.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 17:59 PRAC      5422 FOLIO:5065		700.00	190,698.43
11-08-2020	PAGO CUENTA DE TERCERO/ 6152946806 BNET    2972075318 TRANSF. A TERCEROS		55.00	189,998.43
11-08-2020	PAGO CUENTA DE TERCERO/ 6152895518 BNET    2972075318 TRANSF. A TERCEROS		45.00	189,943.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 15:52 PRAC      7622 FOLIO:0740		700.00	189,898.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 08                    4801 FOLIO:9834		700.00	189,198.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 CURSO                 9988 FOLIO:1614		700.00	188,498.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 15:04 PRAC      7634 FOLIO:5260		700.00	187,798.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 PAGO DE INGLES        9789 FOLIO:2229		700.00	187,098.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 14:13 PRAC      9789 FOLIO:2227		1,500.00	186,398.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 13:51 PRAC      5422 FOLIO:4938		700.00	184,898.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 13:49 PRAC      5422 FOLIO:4936		1,500.00	184,198.43
11-08-2020	PAGO CUENTA DE TERCERO/ 6142230231 BNET    1521838850 TRANSF. A TERCEROS		45.00	182,698.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 12:45 PRAC      E770 FOLIO:8207		100.00	182,653.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 12:30 PRAC      4684 FOLIO:5550		45.00	182,553.43
11-08-2020	DEPOSITO POR CORRECCION/0002502SCRIPCIN  		100.00	182,508.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 REINSCRIPCION         7634 FOLIO:5180		1,250.00	182,408.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 11:53 PRAC      3043 FOLIO:1015		700.00	181,158.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 10:37 PRAC      7634 FOLIO:5111		700.00	180,458.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 10:05 PRAC      9988 FOLIO:1365		250.00	179,758.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 09:41 PRAC      E426 FOLIO:9103		2,100.00	179,508.43
11-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO11 08:58 PRAC      9988 FOLIO:1339		700.00	177,408.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 PAGO DE INGLES        7634 FOLIO:5032		700.00	176,708.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO10 21:35 PRAC      7648 FOLIO:0813		700.00	176,008.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO10 20:20 PRAC      7622 FOLIO:0370		700.00	175,308.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO10 20:09 PRAC      5422 FOLIO:4687		700.00	174,608.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO10 20:08 PRAC      5422 FOLIO:4685		1,500.00	173,908.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO10 20:06 PRAC      5422 FOLIO:4682		700.00	172,408.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 ITSCH                 7622 FOLIO:0345		700.00	171,708.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 ITSCH                 7622 FOLIO:0343		1,500.00	171,008.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO10 18:45 PRAC      5422 FOLIO:4633		700.00	169,508.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 AGO10 18:42 PRAC      5422 FOLIO:4631		1,500.00	168,808.43
10-08-2020	DEPOSITO EFECTIVO PRACTIC/******2997 CURSO DE INGLES       7649 FOLIO:3702		700.00	167,308.43
